Aula,Día,Inicio,Fin,Código,Materia,Comisión,Cupo,Inscriptos,=ARRAYFORMULA(TO_PURE_NUMBER(E2:E)),Día,Capacidad,Estado
,,,,,,,,,,,,
8,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
10,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
11,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
12,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
13,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
21,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
22,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
23,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
25,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
26,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
29,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
30,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
31,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
32,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
33,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
104,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
105,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
106,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
107,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
110,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
111,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
112,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
113,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
116,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
117,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
120,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
121,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
122,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
123,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
124,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
125,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
126,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
130,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
131,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
132,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
133,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
135,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
140,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
141,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
142,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
152,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
154,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
Aula Magna,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
,,,,,,,,,,,,
8,Martes,22:00,22:01,00.00,,,,,00.00,2,,
10,Martes,22:00,22:01,00.00,,,,,00.00,2,,
11,Martes,22:00,22:01,00.00,,,,,00.00,2,,
12,Martes,22:00,22:01,00.00,,,,,00.00,2,,
13,Martes,22:00,22:01,00.00,,,,,00.00,2,,
21,Martes,22:00,22:01,00.00,,,,,00.00,2,,
22,Martes,22:00,22:01,00.00,,,,,00.00,2,,
23,Martes,22:00,22:01,00.00,,,,,00.00,2,,
25,Martes,22:00,22:01,00.00,,,,,00.00,2,,
26,Martes,22:00,22:01,00.00,,,,,00.00,2,,
29,Martes,22:00,22:01,00.00,,,,,00.00,2,,
30,Martes,22:00,22:01,00.00,,,,,00.00,2,,
31,Martes,22:00,22:01,00.00,,,,,00.00,2,,
32,Martes,22:00,22:01,00.00,,,,,00.00,2,,
33,Martes,22:00,22:01,00.00,,,,,00.00,2,,
104,Martes,22:00,22:01,00.00,,,,,00.00,2,,
105,Martes,22:00,22:01,00.00,,,,,00.00,2,,
106,Martes,22:00,22:01,00.00,,,,,00.00,2,,
107,Martes,22:00,22:01,00.00,,,,,00.00,2,,
110,Martes,22:00,22:01,00.00,,,,,00.00,2,,
111,Martes,22:00,22:01,00.00,,,,,00.00,2,,
112,Martes,22:00,22:01,00.00,,,,,00.00,2,,
113,Martes,22:00,22:01,00.00,,,,,00.00,2,,
116,Martes,22:00,22:01,00.00,,,,,00.00,2,,
117,Martes,22:00,22:01,00.00,,,,,00.00,2,,
120,Martes,22:00,22:01,00.00,,,,,00.00,2,,
121,Martes,22:00,22:01,00.00,,,,,00.00,2,,
122,Martes,22:00,22:01,00.00,,,,,00.00,2,,
123,Martes,22:00,22:01,00.00,,,,,00.00,2,,
124,Martes,22:00,22:01,00.00,,,,,00.00,2,,
125,Martes,22:00,22:01,00.00,,,,,00.00,2,,
126,Martes,22:00,22:01,00.00,,,,,00.00,2,,
130,Martes,22:00,22:01,00.00,,,,,00.00,2,,
131,Martes,22:00,22:01,00.00,,,,,00.00,2,,
132,Martes,22:00,22:01,00.00,,,,,00.00,2,,
133,Martes,22:00,22:01,00.00,,,,,00.00,2,,
135,Martes,22:00,22:01,00.00,,,,,00.00,2,,
140,Martes,22:00,22:01,00.00,,,,,00.00,2,,
141,Martes,22:00,22:01,00.00,,,,,00.00,2,,
142,Martes,22:00,22:01,00.00,,,,,00.00,2,,
152,Martes,22:00,22:01,00.00,,,,,00.00,2,,
154,Martes,22:00,22:01,00.00,,,,,00.00,2,,
Aula Magna,Martes,22:00,22:01,00.00,,,,,00.00,2,,
,,,,,,,,,,,,
8,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
10,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
11,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
12,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
13,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
21,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
22,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
23,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
25,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
26,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
29,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
30,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
31,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
32,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
33,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
104,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
105,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
106,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
107,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
110,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
111,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
112,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
113,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
116,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
117,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
120,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
121,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
122,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
123,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
124,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
125,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
126,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
130,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
131,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
132,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
133,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
135,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
140,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
141,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
142,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
152,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
154,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
Aula Magna,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
,,,,,,,,,,,,
8,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
10,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
11,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
12,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
13,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
21,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
22,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
23,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
25,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
26,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
29,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
30,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
31,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
32,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
33,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
104,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
105,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
106,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
107,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
110,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
111,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
112,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
113,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
116,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
117,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
120,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
121,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
122,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
123,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
124,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
125,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
126,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
130,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
131,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
132,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
133,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
135,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
140,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
141,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
142,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
152,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
154,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
Aula Magna,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
,,,,,,,,,,,,
8,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
10,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
11,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
12,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
13,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
21,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
22,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
23,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
25,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
26,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
29,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
30,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
31,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
32,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
33,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
104,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
105,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
106,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
107,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
110,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
111,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
112,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
113,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
116,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
