8,36,19,Libre,P-0,,,,,,,,
10,66,31,Libre,P-1,,,,,,,,
11,54,27,Libre,P-1,,,,,,,,
12,38,17,Libre,P-1,,20 notebooks,,,,,,
13,42,19,Libre,P-1,,,,,,,,
21,30,,Restring.,P-2,,,,,,,,
22,30,15,Libre,P-2,1,,,,,,,
23,28,14,Libre,P-2,1,,,,,,,
25,56,27,Libre,P-2,,,,,,,,
26,56,27,Libre,P-2,,,,,,,,
29,46,27,Libre,P-2,,,,,,,,
30,46,27,Libre,P-3,,,,,,,,
31,72,32,Libre,P-3,1,,,,,,,
32,84,42,Libre,P-3,,Se aumento de 82 a 84 el 6/3/2014,,,,,,
33,40,21,Libre,P-3,1,,,,,,,
104,34,17,Libre,A-0,,,,,,,,
105,28,19,Libre,A-0,,,,,,,,
106,28,13,Libre,A-0,,,,,,,,
107,22,11,Libre,A-0,,No tiene cañon. Actualmente tiene 8 mesas dobles. Colocar 1 mesa doble y 4 individuales con sus correspondientes sillas,,,,,,
110,39,20,Libre,A-1,,,,,,,,
111,38,20,Libre,A-1,,,,,,,,
112,18,10,Libre,A-1,,No tiene cañon,,,,,,
113,28,20,Libre,A-1,,,,,,,,
116,28,15,Libre,A-1,,,,,,,,
117,24,15,Libre,A-1,,,,,,,,
120,36,20,Libre,A-2,,,,,,,,
121,38,18,Libre,A-2,,,,,,,,
122,90,62,Restring.,A-2,,,,,,,,
123,28,15,Libre,A-2,,,,,,,,
124,18,10,Libre,A-2,,No tiene cañon - Ana Maria dice que si le ponen pupitres se amplia la capacidad del aula,,,,,,
125,30,15,Libre,A-2,,,,,,,,
126,30,15,Libre,A-2,,,,,,,,
130,38,18,Libre,A-3,,"Agregar 6 bancos simples, ya pasado por mail",,,,,,
131,42,22,Libre,A-3,,,,,,,,
132,38,22,Libre,A-3,,,,,,,,
133,62,31,Libre,A-3,,Se aumento de 58 a 62 el 6/3/2014,,,,,,
135,38,22,Libre,A-3,,,,,,,,
140,28,15,Libre,A-4,,,,,,,,
141,30,14,Libre,A-4,,,,,,,,
142,30,15,Libre,A-4,,,,,,,,
152,66,44,Libre,A-5,,,,,,,,
154,30,15,Libre,A-5,,No tiene red,,,,,,
Aula Magna,112,,Restring.,P-2,,,,,,,,
Lab A,46,30,Libre,P-1,,,,,,,,
Lab C,48,30,Libre,P-1,,Tiene UNISIM,,,,,,
Lab Universia,35,20,Libre,A-0,,,,,,,,
Lab Electrica,,,,,,,,,,,,
Lab Electronica,,,,,,,,,,,,
Lab Fisica,,,,,,,,,,,,
Lab Mecanica,,,,,,,,,,,,
Lab Quimica A,,,,,,,,,,,,
Lab Quimica B,,,,,,,,,,,,
Lab Quimica C,,,,,,,,,,,,
Lab Quimica D,,,,,,,,,,,,
Lab Simulacion,,,,,,,,,,,,
Lab 2 CEMAT,,,,,,,,,,,,
San Isidro,,,,,,,,,,,,
Hospital Italiano,,,,,,,,,,,,
Sede Algarrobo,,,,,,,,,,,,
Lab Informatica Li-1,,,,,,,,,,,,
Lab Informatica Li-2,,,,,,,,,,,,
Lab Informatica Li-3,,,,,,,,,,,,
Lab Informatica Li-4,,,,,,,,,,,,
Lab Informatica VJ,,,,,,,,,,,,
Lab Multimedia,,,,,,,,,,,,
